New_date,Closing,RET,MA200,MA50
7/11/2022,21124.2,-0.028080271,22945.0938,21011.3472
7/12/2022,20844.74,-0.013317664,22924.15145,21029.3148
7/13/2022,20797.95,-0.002247214,22904.80195,21039.7504
7/14/2022,20751.21,-0.002249866,22883.9542,21032.9868
7/15/2022,20297.72,-0.022095994,22864.9471,21016.9034
7/18/2022,20846.18,0.026662154,22848.0703,21016.4366
7/19/2022,20661.06,-0.008919949,22828.8207,21013.7898
7/20/2022,20890.22,0.011030338,22812.311,21031.555
7/21/2022,20574.63,-0.015222343,22794.14025,21050.3738
7/22/2022,20609.14,0.001675903,22774.684,21066.0652
7/25/2022,20562.94,-0.00224424,22754.1812,21089.7172
7/26/2022,20905.88,0.016540033,22735.8324,21109.8594
7/27/2022,20670.04,-0.01134515,22719.00075,21124.256
7/28/2022,20622.68,-0.002293868,22701.5934,21124.6592
7/29/2022,20156.51,-0.022864128,22682.5435,21114.9038
8/1/2022,20165.84,0.000462771,22659.86405,21115.807
8/2/2022,19689.21,-0.023919314,22634.12085,21095.2464
8/3/2022,19767.09,0.003947664,22606.33085,21081.187
